"section","claim_id","manuscript_value","source_csv","filters","source_columns","verification_status","notes"
"4","sample_anchor","4 countries (PER, CHL, COL, MEX); common anchor 2024","reports/paper_tables/table1_anchors.csv","country_id in {PER,CHL,COL,MEX}","country_id;year","verified","Four distinct country rows; year=2024 for every row."
"4","baseline_horizon_endpoint","H=10; anchor 2024; endpoint 2034","reports/paper_tables/table1_anchors.csv; reports/paper_tables/table2_policy_costs.csv","all countries; endpoint_cost_rule contains 2024 and 2034","year;endpoint_cost_rule","verified","2034 minus the common 2024 anchor gives the ten-year endpoint horizon."
"4","peru_microdata_year","ENAHO Sumaria 2024","reports/gmimicro_cost_comparison_baseline-official-v3.csv","country_id=PER AND primary_variant=True","survey_year;source_id;robustness_flag","verified","survey_year=2024; source_id includes INEI_ENAHO_SUMARIA_2024; robustness_flag=True."
"4","chile_microdata_year","CASEN 2024","reports/gmimicro_chl_cost_comparison_baseline-official-v3.csv","country_id=CHL AND primary_variant=True","survey_year;source_id;robustness_flag","verified","survey_year=2024; source_id includes MDSF_CASEN_2024; robustness_flag=True."
"4","policy_menu_rows","5 policy concepts; 6 reported cost rows per country; 2 GMI variants","reports/paper_tables/table2_policy_costs.csv","group by country_id; distinct policy_id and policy_variant_id","country_id;policy_id;policy_variant_id;gmi_version","verified","Each country has five distinct policy_id values and six policy_variant_id values because GMI has ideal and loaded aggregate variants."
"4","demographic_endpoint_cost","Demographic costs scaled from 2024 to 2034 by the WPP eligible-share rule","reports/paper_tables/table2_policy_costs.csv","gmi_version is blank","country_id;policy_id;endpoint_cost_rule","verified","Non-GMI rows carry the WPP eligible-share endpoint rule; Colombia PEN carries its policy-specific sex/age rule."
"4","gmi_endpoint_cost","c_gross(2034)=c_gross(2024)","reports/paper_tables/table2_policy_costs.csv","policy_id=GMI","country_id;policy_variant_id;endpoint_cost_rule","verified","Both ideal and loaded GMI rows in all countries state the fixed aggregate endpoint rule."
"4","scenario_low","0.050 percent annual nominal-GDP-equivalent","reports/paper_tables/table3_primary_specification.csv","block=scenario AND id=low","phi_y_nominal_min;phi_y_nominal_max","verified","Both CSV endpoints equal 0.0005; manuscript converts the rate to percent."
"4","scenario_mid","0.425 percent annual nominal-GDP-equivalent","reports/paper_tables/table3_primary_specification.csv","block=scenario AND id=mid","phi_y_nominal_min;phi_y_nominal_max","verified","Both CSV endpoints equal 0.00425; manuscript converts the rate to percent."
"4","scenario_high","0.306--0.421 percent annual nominal-GDP-equivalent","reports/paper_tables/table3_primary_specification.csv","block=scenario AND id=high","phi_y_nominal_min;phi_y_nominal_max","verified","CSV range 0.0030622412413359--0.0042092965841293 converted to percent and rounded to three decimals."
"4","scenario_stress","1.500 percent annual nominal-GDP-equivalent","reports/paper_tables/table3_primary_specification.csv","block=scenario AND id=stress","phi_y_nominal_min;phi_y_nominal_max","verified","Both CSV endpoints equal 0.015; manuscript converts the rate to percent."
"4","mc_draws_headline","5,000 draws per headline-grid cell","reports/monte_carlo_result_baseline-official-v3.csv","mc_mode=MC_independent_baseline AND prob_basis=all_draw","mc_n_draws;country_id;policy_variant_id;scenario_id;regime_id","verified","All filtered rows have mc_n_draws=5000."
"4","mc_convergence_ladder","5,000; 10,000; 25,000; 50,000 draws on selected cells","reports/mc_convergence_report_baseline-official-v3.csv","mc_mode in {MC_independent_baseline,MC_factor_nominal}","mc_n_draws;converged_flag","verified","Distinct draw counts are 5000, 10000, 25000, and 50000."
"4","ict_placebo_window","2010--2018","reports/diagnostic_placebo_ict_result_baseline-official-v3.csv","scenario_id=placebo_ict_mid","anchor_year;endpoint_year","verified","All placebo rows use anchor_year=2010 and endpoint_year=2018."
