country_id,policy_id,gmi_version,cell_result_class,n_cells
CHL,GMI,GMI_ideal_aggregate,feasible_cell,5
CHL,GMI,GMI_ideal_aggregate,not_feasible,15
CHL,GMI,GMI_loaded_aggregate,feasible_cell,5
CHL,GMI,GMI_loaded_aggregate,not_feasible,15
CHL,MUT,,not_feasible,20
CHL,PBI,,not_feasible,20
CHL,PEN,,not_feasible,20
CHL,UBI,,not_feasible,20
COL,GMI,GMI_ideal_aggregate,not_feasible,20
COL,GMI,GMI_loaded_aggregate,not_feasible,20
COL,MUT,,not_feasible,20
COL,PBI,,not_feasible,20
COL,PEN,,not_feasible,20
COL,UBI,,not_feasible,20
MEX,GMI,GMI_ideal_aggregate,not_feasible,20
MEX,GMI,GMI_loaded_aggregate,not_feasible,20
MEX,MUT,,not_feasible,20
MEX,PBI,,not_feasible,20
MEX,PEN,,not_feasible,20
MEX,UBI,,not_feasible,20
PER,GMI,GMI_ideal_aggregate,not_feasible,20
PER,GMI,GMI_loaded_aggregate,not_feasible,20
PER,MUT,,not_feasible,20
PER,PBI,,not_feasible,20
PER,PEN,,accounting_feasible_debt_failed,5
PER,PEN,,not_feasible,15
PER,UBI,,not_feasible,20
