run_id,country_id,policy_id,gmi_version,country_policy_result_class,probabilistic_leg,parameter_set_id,dataset_version
official_4c_tierA_baseline_official_v2,CHL,GMI,GMI_ideal_aggregate,conditional_feasibility_probabilistic_leg_not_evaluated,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,CHL,GMI,GMI_loaded_aggregate,conditional_feasibility_probabilistic_leg_not_evaluated,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,CHL,MUT,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,CHL,PBI,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,CHL,PEN,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,CHL,UBI,,stress_benchmark_only,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,GMI,GMI_ideal_aggregate,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,GMI,GMI_loaded_aggregate,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,MUT,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,PBI,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,PEN,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,COL,UBI,,stress_benchmark_only,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,GMI,GMI_ideal_aggregate,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,GMI,GMI_loaded_aggregate,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,MUT,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,PBI,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,PEN,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,MEX,UBI,,stress_benchmark_only,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,PER,GMI,GMI_ideal_aggregate,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,PER,GMI,GMI_loaded_aggregate,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,PER,MUT,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,PER,PBI,,not_feasible,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,PER,PEN,,fragile_feasibility,not_evaluated,baseline-official-v2,v1.0.1-official-4c
official_4c_tierA_baseline_official_v2,PER,UBI,,stress_benchmark_only,not_evaluated,baseline-official-v2,v1.0.1-official-4c
