country_id,scenario_id,regime_id,cells,crosses_v1,crosses_v1_10,debt_guardrail_pass
CHL,high,r0,6,0,0,0
CHL,high,r1,6,0,0,0
CHL,high,r2,6,0,0,0
CHL,high,r3,6,0,0,0
CHL,high,r4,6,0,0,0
CHL,low,r0,6,0,0,0
CHL,low,r1,6,0,0,0
CHL,low,r2,6,0,0,0
CHL,low,r3,6,0,0,0
CHL,low,r4,6,0,0,0
CHL,mid,r0,6,0,0,0
CHL,mid,r1,6,0,0,0
CHL,mid,r2,6,0,0,0
CHL,mid,r3,6,0,0,0
CHL,mid,r4,6,0,0,0
CHL,stress,r0,6,2,2,2
CHL,stress,r1,6,2,2,2
CHL,stress,r2,6,2,2,2
CHL,stress,r3,6,2,2,2
CHL,stress,r4,6,2,2,2
COL,high,r0,6,0,0,0
COL,high,r1,6,0,0,0
COL,high,r2,6,0,0,0
COL,high,r3,6,0,0,0
COL,high,r4,6,0,0,0
COL,low,r0,6,0,0,0
COL,low,r1,6,0,0,0
COL,low,r2,6,0,0,0
COL,low,r3,6,0,0,0
COL,low,r4,6,0,0,0
COL,mid,r0,6,0,0,0
COL,mid,r1,6,0,0,0
COL,mid,r2,6,0,0,0
COL,mid,r3,6,0,0,0
COL,mid,r4,6,0,0,0
COL,stress,r0,6,0,0,0
COL,stress,r1,6,0,0,0
COL,stress,r2,6,0,0,0
COL,stress,r3,6,0,0,0
COL,stress,r4,6,0,0,0
MEX,high,r0,6,0,0,0
MEX,high,r1,6,0,0,0
MEX,high,r2,6,0,0,0
MEX,high,r3,6,0,0,0
MEX,high,r4,6,0,0,0
MEX,low,r0,6,0,0,0
MEX,low,r1,6,0,0,0
MEX,low,r2,6,0,0,0
MEX,low,r3,6,0,0,0
MEX,low,r4,6,0,0,0
MEX,mid,r0,6,0,0,0
MEX,mid,r1,6,0,0,0
MEX,mid,r2,6,0,0,0
MEX,mid,r3,6,0,0,0
MEX,mid,r4,6,0,0,0
MEX,stress,r0,6,0,0,0
MEX,stress,r1,6,0,0,0
MEX,stress,r2,6,0,0,0
MEX,stress,r3,6,0,0,0
MEX,stress,r4,6,0,0,0
PER,high,r0,6,0,0,0
PER,high,r1,6,0,0,0
PER,high,r2,6,0,0,0
PER,high,r3,6,0,0,0
PER,high,r4,6,0,0,0
PER,low,r0,6,0,0,0
PER,low,r1,6,0,0,0
PER,low,r2,6,0,0,0
PER,low,r3,6,0,0,0
PER,low,r4,6,0,0,0
PER,mid,r0,6,0,0,0
PER,mid,r1,6,0,0,0
PER,mid,r2,6,0,0,0
PER,mid,r3,6,0,0,0
PER,mid,r4,6,0,0,0
PER,stress,r0,6,1,0,0
PER,stress,r1,6,1,0,0
PER,stress,r2,6,1,1,0
PER,stress,r3,6,1,0,0
PER,stress,r4,6,1,1,0
