policy_id,scenario_id,regime_id,cell_result_class,n_cells
GMI,high,r0,not_feasible,1
GMI,high,r1,not_feasible,1
GMI,high,r2,not_feasible,1
GMI,high,r3,not_feasible,1
GMI,high,r4,not_feasible,1
GMI,low,r0,not_feasible,1
GMI,low,r1,not_feasible,1
GMI,low,r2,not_feasible,1
GMI,low,r3,not_feasible,1
GMI,low,r4,not_feasible,1
GMI,mid,r0,not_feasible,1
GMI,mid,r1,not_feasible,1
GMI,mid,r2,not_feasible,1
GMI,mid,r3,not_feasible,1
GMI,mid,r4,not_feasible,1
GMI,stress,r0,not_feasible,1
GMI,stress,r1,not_feasible,1
GMI,stress,r2,not_feasible,1
GMI,stress,r3,not_feasible,1
GMI,stress,r4,not_feasible,1
MUT,high,r0,not_feasible,1
MUT,high,r1,not_feasible,1
MUT,high,r2,not_feasible,1
MUT,high,r3,not_feasible,1
MUT,high,r4,not_feasible,1
MUT,low,r0,not_feasible,1
MUT,low,r1,not_feasible,1
MUT,low,r2,not_feasible,1
MUT,low,r3,not_feasible,1
MUT,low,r4,not_feasible,1
MUT,mid,r0,not_feasible,1
MUT,mid,r1,not_feasible,1
MUT,mid,r2,not_feasible,1
MUT,mid,r3,not_feasible,1
MUT,mid,r4,not_feasible,1
MUT,stress,r0,not_feasible,1
MUT,stress,r1,not_feasible,1
MUT,stress,r2,not_feasible,1
MUT,stress,r3,not_feasible,1
MUT,stress,r4,not_feasible,1
PBI,high,r0,not_feasible,1
PBI,high,r1,not_feasible,1
PBI,high,r2,not_feasible,1
PBI,high,r3,not_feasible,1
PBI,high,r4,not_feasible,1
PBI,low,r0,not_feasible,1
PBI,low,r1,not_feasible,1
PBI,low,r2,not_feasible,1
PBI,low,r3,not_feasible,1
PBI,low,r4,not_feasible,1
PBI,mid,r0,not_feasible,1
PBI,mid,r1,not_feasible,1
PBI,mid,r2,not_feasible,1
PBI,mid,r3,not_feasible,1
PBI,mid,r4,not_feasible,1
PBI,stress,r0,not_feasible,1
PBI,stress,r1,not_feasible,1
PBI,stress,r2,not_feasible,1
PBI,stress,r3,not_feasible,1
PBI,stress,r4,not_feasible,1
PEN,high,r0,not_feasible,1
PEN,high,r1,not_feasible,1
PEN,high,r2,not_feasible,1
PEN,high,r3,not_feasible,1
PEN,high,r4,not_feasible,1
PEN,low,r0,not_feasible,1
PEN,low,r1,not_feasible,1
PEN,low,r2,not_feasible,1
PEN,low,r3,not_feasible,1
PEN,low,r4,not_feasible,1
PEN,mid,r0,not_feasible,1
PEN,mid,r1,not_feasible,1
PEN,mid,r2,not_feasible,1
PEN,mid,r3,not_feasible,1
PEN,mid,r4,not_feasible,1
PEN,stress,r0,not_feasible,1
PEN,stress,r1,not_feasible,1
PEN,stress,r2,not_feasible,1
PEN,stress,r3,not_feasible,1
PEN,stress,r4,not_feasible,1
UBI,high,r0,not_feasible,1
UBI,high,r1,not_feasible,1
UBI,high,r2,not_feasible,1
UBI,high,r3,not_feasible,1
UBI,high,r4,not_feasible,1
UBI,low,r0,not_feasible,1
UBI,low,r1,not_feasible,1
UBI,low,r2,not_feasible,1
UBI,low,r3,not_feasible,1
UBI,low,r4,not_feasible,1
UBI,mid,r0,not_feasible,1
UBI,mid,r1,not_feasible,1
UBI,mid,r2,not_feasible,1
UBI,mid,r3,not_feasible,1
UBI,mid,r4,not_feasible,1
UBI,stress,r0,not_feasible,1
UBI,stress,r1,not_feasible,1
UBI,stress,r2,not_feasible,1
UBI,stress,r3,not_feasible,1
UBI,stress,r4,not_feasible,1
