country_id,government_level,revenue_concept,percentile_sample,p10_mfc_hist_positive,p25_mfc_hist_positive,p50_mfc_hist_positive,p50_ci_low,p50_ci_high,p75_mfc_hist_positive,p75_ci_low,p75_ci_high,p90_mfc_hist_positive,p90_ci_low,p90_ci_high,ci_method,n_years_total,n_years_positive,p_negative_capture,p10_mfc_hist_negative,p50_mfc_hist_negative,p90_mfc_hist_negative,support_warning,dataset_version,build_id,bootstrap_ci_available_flag,support_warning_flag
CHL,general_government,tax,2000plus,0.1563996208021763,0.19229385201707036,0.2316191543289407,0.19488976046130144,0.33722418597029585,0.3424583079397334,0.259783636979781,0.39188429478574116,0.38673755765075024,0.3274158677159582,0.40081311077289244,"bootstrap percentile, B=2000, seed=20240707, PCG64",24,19,0.20833333333333334,-0.8896145771669499,-0.2440388646551915,-0.08241268283338943,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
CHL,general_government,tax,2010plus,0.15827438251939338,0.18378200370752268,0.27456359317823265,0.1778660638422061,0.37517680501522443,0.37111200774245856,0.23848773480711435,0.40056017437938285,0.398746610965729,0.3446739901210064,0.40085412748535343,"bootstrap percentile, B=2000, seed=20240707, PCG64",15,12,0.2,-0.33855736747301557,-0.2440388646551915,-0.08550589812054452,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
CHL,general_government,tax,2015plus,0.1452496783465766,0.1816265032652506,0.25979710090031005,0.15741218234248455,0.40046219001072597,0.3875953471732487,0.20208616977309546,0.40087691454783175,0.4005866073718577,0.2617233932055163,0.40087691454783175,"bootstrap percentile, B=2000, seed=20240707, PCG64",10,8,0.2,-0.3565543498409443,-0.3065474675361653,-0.25654058523138623,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
CHL,general_government,tax,excl_pandemic_2020_2021,0.15589334003202215,0.19099589779495482,0.22847398684275944,0.19488976046130144,0.3273661089989103,0.33229514748460304,0.23004657058585007,0.3921084451254676,0.37707170433200266,0.313021503572884,0.4008222255978838,"bootstrap percentile, B=2000, seed=20240707, PCG64",22,18,0.18181818181818182,-0.9283038778615852,-0.19063079350417045,-0.07327767624676275,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
CHL,general_government,total_revenue,2000plus,0.12149894498144781,0.179939530848661,0.2989722658135917,0.18856411070054685,0.3697860210690105,0.37428863515415595,0.305368865890889,0.4686894764127749,0.4671193762231407,0.3697860210690105,0.4831180511736388,"bootstrap percentile, B=2000, seed=20240707, PCG64",24,20,0.16666666666666666,-1.1794320257868416,-0.26903429983557076,-0.12878666081058704,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
CHL,general_government,total_revenue,2010plus,0.1205367886047814,0.16003978611510453,0.25409347145316497,0.16003978611510453,0.38779647740959233,0.38779647740959233,0.25409347145316497,0.4765399773609459,0.47444651044143366,0.3564047136595637,0.4838869169439536,"bootstrap percentile, B=2000, seed=20240707, PCG64",15,13,0.13333333333333333,-0.3311368075407461,-0.25316869567731426,-0.17520058381388237,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
CHL,general_government,total_revenue,2015plus,0.12270078919359674,0.17391637911765695,0.28217099466911405,0.12399918954688594,0.4765399773609459,0.4686894764127749,0.22047871120220125,0.48431406459412846,0.47887220353090065,0.3176872228462308,0.48431406459412846,"bootstrap percentile, B=2000, seed=20240707, PCG64",10,8,0.2,-0.3413361244996253,-0.2588349828766916,-0.17633384125375784,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
CHL,general_government,total_revenue,excl_pandemic_2020_2021,0.12129586091342641,0.17330628260414216,0.2942022164010191,0.1865727790931798,0.36794376260318884,0.36886489183609966,0.2942022164010191,0.4300540099527333,0.4084428302663425,0.3429215147249845,0.48109076996822087,"bootstrap percentile, B=2000, seed=20240707, PCG64",22,19,0.13636363636363635,-1.2335524680499041,-0.15570855584802443,-0.12494067580523885,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
COL,general_government,tax,2000plus,0.12857011613983338,0.16868463846438414,0.21441238618666802,0.18037320534149331,0.246202174692834,0.2539663469232485,0.2267902132858733,0.30002039038433603,0.2970931231132513,0.24995310548578967,0.4826977956916106,"bootstrap percentile, B=2000, seed=20240707, PCG64",23,22,0.043478260869565216,-0.04466633162328137,-0.04466633162328137,-0.04466633162328137,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
COL,general_government,tax,2010plus,0.10203360681654156,0.17526895838752227,0.2311956002575688,0.17526895838752227,0.25530409406906807,0.25530409406906807,0.2311956002575688,0.30002039038433603,0.29269649796288283,0.24845273316860741,0.5000687240130727,"bootstrap percentile, B=2000, seed=20240707, PCG64",14,13,0.07142857142857142,-0.05888513905585338,-0.05888513905585338,-0.05888513905585338,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
