run_id,mc_mode,country_id,policy_variant_id,scenario_id,regime_id,mc_n_draws,prob_v_ge_1_10,valid_support_share,valid_support_share_above_threshold,delta_from_previous,convergence_tolerance,support_share_threshold,converged_flag,parameter_set_id,dataset_version
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,mid,r0,5000,0.0002,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,mid,r0,10000,0.0002,1.0,True,0.0,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,mid,r0,25000,0.00012,1.0,True,8e-05,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,mid,r0,50000,6e-05,1.0,True,6e-05,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r0,5000,0.9792,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r0,10000,0.9784,1.0,True,0.0007999999999999119,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r0,25000,0.97836,1.0,True,4.0000000000040004e-05,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r0,50000,0.9788,1.0,True,0.00043999999999999595,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r1,5000,0.9922,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r1,10000,0.9902,1.0,True,0.0020000000000000018,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r1,25000,0.98924,1.0,True,0.0009599999999999609,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r1,50000,0.98908,1.0,True,0.000160000000000049,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r2,5000,0.996,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r2,10000,0.9952,1.0,True,0.0008000000000000229,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r2,25000,0.99448,1.0,True,0.0007199999999999429,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r2,50000,0.9938,1.0,True,0.0006800000000000139,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r3,5000,0.9876,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r3,10000,0.9871,1.0,True,0.000500000000000056,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r3,25000,0.98656,1.0,True,0.0005399999999999849,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r3,50000,0.98612,1.0,True,0.00043999999999999595,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r4,5000,0.9988,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r4,10000,0.9993,1.0,True,0.0004999999999999449,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r4,25000,0.99936,1.0,True,6.0000000000060005e-05,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,CHL,GMI:GMI_ideal_aggregate,stress,r4,50000,0.99928,1.0,True,8.000000000008001e-05,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,mid,r0,5000,0.0,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,mid,r0,10000,0.0,1.0,True,0.0,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,mid,r0,25000,0.0,1.0,True,0.0,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,mid,r0,50000,0.0,1.0,True,0.0,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r0,5000,0.3018,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r0,10000,0.296,1.0,True,0.005800000000000027,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r0,25000,0.2912,1.0,True,0.004799999999999971,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r0,50000,0.29664,1.0,True,0.00544,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r1,5000,0.3904,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r1,10000,0.3855,1.0,True,0.0049000000000000155,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r1,25000,0.3866,1.0,True,0.0010999999999999899,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r1,50000,0.38234,1.0,True,0.004259999999999986,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r2,5000,0.4622,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r2,10000,0.4621,1.0,True,9.999999999998899e-05,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r2,25000,0.4658,1.0,True,0.003699999999999981,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r2,50000,0.46488,1.0,True,0.0009199999999999764,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r3,5000,0.3656,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r3,10000,0.3621,1.0,True,0.003500000000000003,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r3,25000,0.36084,1.0,True,0.0012599999999999834,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r3,50000,0.36446,1.0,True,0.003620000000000012,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r4,5000,0.71,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r4,10000,0.7156,1.0,True,0.005600000000000049,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r4,25000,0.71744,1.0,True,0.0018399999999999528,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_independent_baseline,PER,PEN,stress,r4,50000,0.71492,1.0,True,0.0025199999999999667,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
