country_id,policy_id,policy_variant_id,gmi_version,scenario_id,regime_id,mc_mode,prob_v_ge_1,prob_v_ge_1_10,prob_debt_consistent_1_10,valid_support_share
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,MC_factor_nominal,0.0012,0.0008,0.0008,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,MC_factor_rho03,0.0006,0.0002,0.0002,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,MC_factor_rho07,0.0014,0.0006,0.0006,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,MC_factor_rho08,0.001,0.0006,0.0006,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,MC_independent_baseline,0.0,0.0,0.0,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,mid,r0,MC_pairwise_05_check,0.0006,0.0002,0.0002,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,MC_factor_nominal,0.971,0.9636,0.9636,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,MC_factor_rho03,0.975,0.9668,0.9668,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,MC_factor_rho07,0.9666,0.9562,0.9562,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,MC_factor_rho08,0.9602,0.9522,0.9522,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,MC_independent_baseline,0.9838,0.978,0.978,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r0,MC_pairwise_05_check,0.9844,0.9804,0.9804,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r4,MC_factor_nominal,0.9986,0.9978,0.9978,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r4,MC_factor_rho03,0.9984,0.9974,0.9974,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r4,MC_factor_rho07,0.9976,0.9964,0.9964,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r4,MC_factor_rho08,0.9968,0.9954,0.9954,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r4,MC_independent_baseline,0.9998,0.9998,0.9998,1.0
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,stress,r4,MC_pairwise_05_check,0.999,0.9988,0.9988,1.0
PER,PEN,PEN,,stress,r2,MC_factor_nominal,0.5772,0.4724,0.0042,1.0
PER,PEN,PEN,,stress,r2,MC_factor_rho03,0.5764,0.467,0.0046,1.0
PER,PEN,PEN,,stress,r2,MC_factor_rho07,0.5642,0.4672,0.0052,1.0
PER,PEN,PEN,,stress,r2,MC_factor_rho08,0.5746,0.4756,0.0074,1.0
PER,PEN,PEN,,stress,r2,MC_independent_baseline,0.596,0.4666,0.0014,1.0
PER,PEN,PEN,,stress,r2,MC_pairwise_05_check,0.5876,0.475,0.0016,1.0
PER,PEN,PEN,,stress,r4,MC_factor_nominal,0.789,0.702,0.0268,1.0
PER,PEN,PEN,,stress,r4,MC_factor_rho03,0.7872,0.6964,0.0258,1.0
PER,PEN,PEN,,stress,r4,MC_factor_rho07,0.7636,0.6772,0.033,1.0
PER,PEN,PEN,,stress,r4,MC_factor_rho08,0.7704,0.6874,0.0368,1.0
PER,PEN,PEN,,stress,r4,MC_independent_baseline,0.805,0.7186,0.0152,1.0
PER,PEN,PEN,,stress,r4,MC_pairwise_05_check,0.8098,0.7182,0.0138,1.0
