country_id,policy_id,policy_variant_id,gmi_version,cost_gross_gdp,cost_net_gdp,endpoint_cost_rule,policy_parameter_id,year,age_threshold,eta_policy,chi_gmi,theta_target,benefit_formula,eligible_population_rule,gross_or_net_convention,existing_spending_treatment,poverty_line_convention,indexation_rule,source_id,assumption_id,source_url,dataset_version,created_at,created_by_script
PER,PEN,PEN,,0.0055738452620398,0.0055738452620398,Endpoint cost scales by WPP eligible-share ratio.,PER_PEN_2024_OFFICIAL,2024,65.0,,,,S/250 every two months * 6 = S/1500 annual,age>=65,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",not_applicable,endpoint_policy_review_required,MIDIS_PENSION65,,https://www.gob.pe/pension65,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0278720820620802,0.0278720820620802,GMI fixed aggregate endpoint c_2034=c_2024.,PER_GMI_ideal_aggregate_2024,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0278720820620802,0.0278720820620802,GMI fixed aggregate endpoint c_2034=c_2024.,PER_GMI_loaded_aggregate_2024,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0418081230931203,0.0418081230931203,GMI fixed aggregate endpoint c_2034=c_2024.,PER_GMI_ideal_aggregate_2024,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0418081230931203,0.0418081230931203,GMI fixed aggregate endpoint c_2034=c_2024.,PER_GMI_loaded_aggregate_2024,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER,MUT,MUT,,0.0533947932223759,0.0533947932223759,Endpoint cost scales by WPP eligible-share ratio.,PER_MUT_2024_ASSUMED_ETA,2024,,0.25,,,eta_MUT * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_MUT_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER,PBI,PBI,,0.0796945147314945,0.0796945147314945,Endpoint cost scales by WPP eligible-share ratio.,PER_PBI_2024_ASSUMED_ETA,2024,18.0,0.5,,,eta_PBI * poverty_line_lcu,adult population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_PBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER,UBI,UBI,,0.2135791728895036,0.2135791728895036,Endpoint cost scales by WPP eligible-share ratio.,PER_UBI_2024_ASSUMED_ETA,2024,,1.0,,,eta_UBI * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_UBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
CHL,PEN,PEN,,0.0310439682080007,0.0310439682080007,Endpoint cost scales by WPP eligible-share ratio.,CHL_PEN_2024_OFFICIAL,2024,65.0,,,,"PGU maximum CLP 214,296 monthly from 2024-02-01 * 12",age>=65,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",not_applicable,endpoint_policy_review_required,SP_CHILE_PGU_2024,,https://www.spensiones.cl/portal/institucional/594/w3-article-15857.html,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0014636228592727,0.0014636228592727,GMI fixed aggregate endpoint c_2034=c_2024.,CHL_GMI_ideal_aggregate_2024,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
