country_id,policy_id,policy_variant_id,gmi_version,cost_gross_gdp,cost_net_gdp,endpoint_cost_rule
PER,PEN,PEN,,0.0055738452620398,0.0055738452620398,Endpoint cost scales by WPP eligible-share ratio.
PER,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0278720820620802,0.0278720820620802,GMI fixed aggregate endpoint c_2034=c_2024.
PER,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0418081230931203,0.0418081230931203,GMI fixed aggregate endpoint c_2034=c_2024.
PER,MUT,MUT,,0.0533947932223759,0.0533947932223759,Endpoint cost scales by WPP eligible-share ratio.
PER,PBI,PBI,,0.0796945147314945,0.0796945147314945,Endpoint cost scales by WPP eligible-share ratio.
PER,UBI,UBI,,0.2135791728895036,0.2135791728895036,Endpoint cost scales by WPP eligible-share ratio.
CHL,PEN,PEN,,0.0310439682080007,0.0310439682080007,Endpoint cost scales by WPP eligible-share ratio.
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0014636228592727,0.0014636228592727,GMI fixed aggregate endpoint c_2034=c_2024.
CHL,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0021954342889091,0.0021954342889091,GMI fixed aggregate endpoint c_2034=c_2024.
CHL,MUT,MUT,,0.0290401360966814,0.0290401360966814,Endpoint cost scales by WPP eligible-share ratio.
CHL,PBI,PBI,,0.0485174943239629,0.0485174943239629,Endpoint cost scales by WPP eligible-share ratio.
CHL,UBI,UBI,,0.1161605443867259,0.1161605443867259,Endpoint cost scales by WPP eligible-share ratio.
COL,PEN,PEN,,0.009046444462084,0.009046444462084,"Colombia PEN endpoint uses WPP sex/age rule: women>=54, men>=59; COP 80k monthly under 80 and COP 225k monthly age>=80."
COL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0298593723667936,0.0298593723667936,GMI fixed aggregate endpoint c_2034=c_2024.
COL,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0447890585501904,0.0447890585501904,GMI fixed aggregate endpoint c_2034=c_2024.
COL,MUT,MUT,,0.0474560908563153,0.0474560908563153,Endpoint cost scales by WPP eligible-share ratio.
COL,PBI,PBI,,0.0743213726473507,0.0743213726473507,Endpoint cost scales by WPP eligible-share ratio.
COL,UBI,UBI,,0.1898243634252614,0.1898243634252614,Endpoint cost scales by WPP eligible-share ratio.
MEX,PEN,PEN,,0.0159961252256844,0.0159961252256844,Endpoint cost scales by WPP eligible-share ratio.
MEX,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0101200315583673,0.0101200315583673,GMI fixed aggregate endpoint c_2034=c_2024.
MEX,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0151800473375509,0.0151800473375509,GMI fixed aggregate endpoint c_2034=c_2024.
MEX,MUT,MUT,,0.0395313732748723,0.0395313732748723,Endpoint cost scales by WPP eligible-share ratio.
MEX,PBI,PBI,,0.0590542021843079,0.0590542021843079,Endpoint cost scales by WPP eligible-share ratio.
MEX,UBI,UBI,,0.1581254930994895,0.1581254930994895,Endpoint cost scales by WPP eligible-share ratio.
