country_id,policy_variant_id,scenario_id,regime_id,requirement_basis,g_ai_required,mfc_required_gross,q_prod_required,historical_total_revenue_class,flags
PER,PEN,low,r0,baseline,0.0803401385209352,2.6186862411420764,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r0,debt_consistent,0.1527380916651536,4.978497006668828,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r0,baseline,0.3495769751876287,11.39445900887217,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r0,debt_consistent,0.4219749283318471,13.754269774398924,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r0,baseline,0.5057384207179074,16.484540210318404,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r0,debt_consistent,0.5781363738621258,18.84435097584516,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r0,baseline,0.6102410215960605,19.89080173937801,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r0,debt_consistent,0.6826389747402789,22.25061250490476,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r0,baseline,0.9019643713806303,29.39952224154224,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r0,debt_consistent,0.9743623245248486,31.759333007068985,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r0,baseline,2.400729675527005,78.25176662305397,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r0,debt_consistent,2.473127628671224,80.61157738858073,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r1,baseline,0.076053508271099,2.6107172407010544,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r1,debt_consistent,0.144797792323103,4.970528006227807,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r1,baseline,0.3314514196457392,11.37785692462004,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r1,debt_consistent,0.4001957036977432,13.737667690146791,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r1,baseline,0.4797319483524038,16.467938126066276,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r1,debt_consistent,0.5484762324044078,18.82774889159303,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r1,baseline,0.579289546974389,19.88548907241733,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r1,debt_consistent,0.6480338310263929,22.24529983794408,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r1,baseline,0.8563293404163071,29.395537741321725,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r1,debt_consistent,0.9250736244683112,31.75534850684848,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r1,baseline,2.279476596686553,78.24844620620354,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r1,debt_consistent,2.348220880738557,80.6082569717303,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r2,baseline,0.0727850052936051,2.6107172407010544,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r2,debt_consistent,0.1385749102220488,4.970528006227807,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r2,baseline,0.3172068439958564,11.37785692462004,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r2,debt_consistent,0.3829967489243001,13.737667690146791,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r2,baseline,0.4591148152676358,16.467938126066276,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r2,debt_consistent,0.5249047201960795,18.82774889159303,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r2,baseline,0.554393790655461,19.88548907241733,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r2,debt_consistent,0.6201836955839047,22.24529983794408,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r2,baseline,0.8195274221025711,29.395537741321725,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r2,debt_consistent,0.8853173270310148,31.75534850684848,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r2,baseline,2.181512989053363,78.24844620620354,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r2,debt_consistent,2.2473028939818067,80.6082569717303,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r3,baseline,0.0834620906743959,2.6154986409656678,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PEN,low,r3,debt_consistent,0.1587650317663828,4.97530940649242,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r3,baseline,0.3633919353782446,11.38781817517132,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_ideal_aggregate,low,r3,debt_consistent,0.4386948764702315,13.747628940698071,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r3,baseline,0.5258194022181022,16.477899376617554,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,GMI:GMI_loaded_aggregate,low,r3,debt_consistent,0.6011223433100892,18.837710142144307,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r3,baseline,0.6346592997000723,19.88867667259374,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,MUT,low,r3,debt_consistent,0.7099622407920592,22.24848743812049,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r3,baseline,0.9381050828281604,29.39792844145403,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,PBI,low,r3,debt_consistent,1.0134080239201473,31.75773920698078,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r3,baseline,2.4970172369658776,78.2504384563138,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
PER,UBI,low,r3,debt_consistent,2.5723201780578644,80.61024922184055,,extreme_or_outside_historical_support,frontier_exceeds_one;ai_rent_capture_impossible
