country_id,policy_variant_id,scenario_id,regime_id,prob_v_ge_1,prob_v_ge_1_10,v_p05,v_p50,v_p95,converged_flag
PER,PEN,low,r0,0.0,0.0,-0.280804716583315,-0.2647799071131987,-0.2439667941816916,True
PER,GMI:GMI_ideal_aggregate,low,r0,0.0,0.0,-0.1243837331284456,-0.1211790996123289,-0.1170169035251048,True
PER,GMI:GMI_loaded_aggregate,low,r0,0.0,0.0,-0.082922488752297,-0.0807860664082192,-0.0780112690167365,True
PER,MUT,low,r0,0.0,0.0,-0.0183544548761689,-0.016681636180756,-0.014508969823225,True
PER,PBI,low,r0,0.0,0.0,-0.0086262833396594,-0.0075055059732242,-0.0060498340076888,True
PER,UBI,low,r0,0.0,0.0,-0.0025338848741798,-0.0021156802003266,-0.0015725136109439,True
PER,PEN,low,r1,0.0,0.0,-0.274902912445793,-0.2578261787682911,-0.2355709066968619,True
PER,GMI:GMI_ideal_aggregate,low,r1,0.0,0.0,-0.1222973979505572,-0.118862804773338,-0.1143937069247924,True
PER,GMI:GMI_loaded_aggregate,low,r1,0.0,0.0,-0.0815315986337048,-0.079241869848892,-0.0762624712831949,True
PER,MUT,low,r1,0.0,0.0,-0.0178763568176213,-0.016108408511155,-0.0137975508757999,True
PER,PBI,low,r1,0.0,0.0,-0.0083529385026931,-0.0071727399174334,-0.0056270182961965,True
PER,UBI,low,r1,0.0,0.0,-0.0024409921709079,-0.0020007741584386,-0.001422739880091,True
PER,PEN,low,r2,0.0,0.0,-0.2729987440801695,-0.2551085743721981,-0.2319049592375962,True
PER,GMI:GMI_ideal_aggregate,low,r2,0.0,0.0,-0.1219723691750035,-0.118327627604195,-0.1135814504750464,True
PER,GMI:GMI_loaded_aggregate,low,r2,0.0,0.0,-0.0813149127833356,-0.0788850850694633,-0.0757209669833643,True
PER,MUT,low,r2,0.0,0.0,-0.0176925857349113,-0.0158205519480509,-0.013394478208276,True
PER,PBI,low,r2,0.0,0.0,-0.0082312387983086,-0.0069802263821024,-0.0053471631421403,True
PER,UBI,low,r2,0.0,0.0,-0.0023960690003928,-0.0019288954793936,-0.0013195292128714,True
PER,PEN,low,r3,0.0,0.0,-0.2797413894001765,-0.2640377724105686,-0.2432863705432179,True
PER,GMI:GMI_ideal_aggregate,low,r3,0.0,0.0,-0.1237725284562668,-0.1206100200513087,-0.1164575139697089,True
PER,GMI:GMI_loaded_aggregate,low,r3,0.0,0.0,-0.0825150189708445,-0.0804066800342058,-0.0776383426464726,True
PER,MUT,low,r3,0.0,0.0,-0.0183047417017689,-0.0166693089912612,-0.014522115305649,True
PER,PBI,low,r3,0.0,0.0,-0.0086119930167172,-0.0075193541161494,-0.0060775087319363,True
PER,UBI,low,r3,0.0,0.0,-0.0025321736657254,-0.0021248232147978,-0.0015882096910363,True
PER,PEN,low,r4,0.0,0.0,-0.2655341702231792,-0.2463613921149541,-0.221047802230051,True
PER,GMI:GMI_ideal_aggregate,low,r4,0.0,0.0,-0.119515406425721,-0.1156334012130659,-0.1105439063693619,True
PER,GMI:GMI_loaded_aggregate,low,r4,0.0,0.0,-0.0796769376171473,-0.0770889341420439,-0.0736959375795746,True
PER,MUT,low,r4,0.0,0.0,-0.0170671277914975,-0.0150607808841668,-0.0124345331000499,True
PER,PBI,low,r4,0.0,0.0,-0.0078648695844642,-0.0065208898808358,-0.0047566692774386,True
PER,UBI,low,r4,0.0,0.0,-0.0022698623057646,-0.0017677902562943,-0.0011087942671315,True
PER,PEN,mid,r0,0.0,0.0,-0.0778164699494851,0.0535751585119926,0.2357362802872228,True
PER,GMI:GMI_ideal_aggregate,mid,r0,0.0,0.0,-0.0837902434052994,-0.0575146101698452,-0.0210861186322114,True
PER,GMI:GMI_loaded_aggregate,mid,r0,0.0,0.0,-0.0558601622701996,-0.0383430734465635,-0.0140574124214743,True
PER,MUT,mid,r0,0.0,0.0,0.0028353467593133,0.0165512273082204,0.0355668998908652,True
PER,PBI,mid,r0,0.0,0.0,0.0055707423974533,0.0147602908656151,0.0275006646410949,True
PER,UBI,mid,r0,0.0,0.0,0.0027635655346906,0.0061925356719174,0.0109464538175786,True
PER,PEN,mid,r1,0.0,0.0,-0.0604731707587133,0.0773468093548506,0.2683230476658478,True
PER,GMI:GMI_ideal_aggregate,mid,r1,0.0,0.0,-0.0793684336403056,-0.0518594179968017,-0.0136697127351917,True
PER,GMI:GMI_loaded_aggregate,mid,r1,0.0,0.0,-0.0529122890935371,-0.0345729453312011,-0.0091131418234611,True
PER,MUT,mid,r1,0.0,0.0,0.0044822878511361,0.0188823263751837,0.0388178868598617,True
PER,PBI,mid,r1,0.0,0.0,0.0066146636746602,0.0162690962237668,0.0296283125295264,True
PER,UBI,mid,r1,0.0,0.0,0.0031420404855384,0.0067449850250472,0.0117309400023792,True
PER,PEN,mid,r2,0.0,0.0,-0.0467389985709556,0.0972085294438288,0.2999783704330296,True
PER,GMI:GMI_ideal_aggregate,mid,r2,0.0,0.0,-0.0765936156653832,-0.0478658868283457,-0.0072538642205776,True
