parameter_set_id,name,module,country_id,scenario_id,policy_id,regime_code,value_type,unit,baseline_value,low_value,high_value,support_type,source_id,formula_id,distribution,truncation_rule,primary_spec_flag,robustness_flag,stress_flag,double_counting_risk,double_counting_note,audit_status,notes,is_lac_fallback,assumption_id,dataset_version,build_id,created_at,created_by_script,author_approval_date,author_approval_note
robustness-gmimicro-chl-v1,A_aipi_total,adoption_translation,PER,,,,observed,index_0_to_1,0.491133,0.441133,0.541133,literature_informed_measurement_uncertainty,Saisana_Saltelli_Tarantola_2005_JRSSA;Hoyland_Moene_Willumsen_2012_JDE,MEASUREMENT_UNCERTAINTY_PERT_AUTHOR_2026_07_09,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",True,False,False,none,none,author_approved,A: incertidumbre de puntajes de indices compuestos. La literatura ancla la existencia y el orden de magnitud de la incertidumbre; el rango exacto +/-0.05 es declaracion del autor dentro de esa clase. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,False,OFFICIAL_V3_MEASUREMENT_A_aipi_total_PER,v1.0.1-official-4c,robustness-gmimicro-chl-v1-20260710T204451Z,2026-07-10T20:44:51.671519+00:00,run_gmi_microdata_chl_robustness_extension.py,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura
robustness-gmimicro-chl-v1,Gap_excluded_indicators,adoption_translation,PER,,,,observed,index_0_to_1,0.26508123256559324,0.21508123256559325,0.31508123256559323,literature_informed_measurement_uncertainty,Saisana_Saltelli_Tarantola_2005_JRSSA;Hoyland_Moene_Willumsen_2012_JDE,MEASUREMENT_UNCERTAINTY_PERT_AUTHOR_2026_07_09,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",True,False,False,none,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",author_approved,Gap: incertidumbre de puntajes de indices compuestos construidos desde cobertura ITU y velocidades Ookla excluidas del AIPI. La literatura ancla clase y orden de magnitud; +/-0.05 es declaracion del autor. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,False,OFFICIAL_V3_MEASUREMENT_Gap_excluded_indicators_PER,v1.0.1-official-4c,robustness-gmimicro-chl-v1-20260710T204451Z,2026-07-10T20:44:51.671519+00:00,run_gmi_microdata_chl_robustness_extension.py,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura
robustness-gmimicro-chl-v1,I_adopt_informality,adoption_translation,PER,,,,observed,share,0.6746800000000001,0.63468,0.7146800000000001,literature_informed_measurement_uncertainty,Gasparini_Tornarolli_2007_CEDLAS_WP46;Gasparini_Tornarolli_2009_followup,MEASUREMENT_UNCERTAINTY_PERT_AUTHOR_2026_07_09,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",True,False,False,none,none,author_approved,I: dispersion inter-definicion de informalidad en LAC. Gasparini y Tornarolli documentan brechas de varios puntos porcentuales; +/-0.04 es conservador frente a ese orden de magnitud. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,False,OFFICIAL_V3_MEASUREMENT_I_adopt_informality_PER,v1.0.1-official-4c,robustness-gmimicro-chl-v1-20260710T204451Z,2026-07-10T20:44:51.671519+00:00,run_gmi_microdata_chl_robustness_extension.py,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura
robustness-gmimicro-chl-v1,q_use_target,adoption_translation,PER,,,,calibrated_parameter,share,0.1106241740078193,0.07743692180547351,0.1438114262101651,official_4c_country_specific,FRONTIER_BENCHMARK;IMF_AIPI_DATA360,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,bounded_PERT,0_to_1,True,False,False,none,none,registered,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,False,A4A_PER_Q_USE_TARGET,v1.0.1-official-4c,robustness-gmimicro-chl-v1-20260710T204451Z,2026-07-10T20:44:51.671519+00:00,run_gmi_microdata_chl_robustness_extension.py,,
robustness-gmimicro-chl-v1,q_bar,adoption_translation,PER,,,,derived_parameter,share,0.5301193837172034,0.295179075575805,0.7650596918586017,official_4c_country_specific,PAPER_ADOPTION_MODULE,1 - omega_I*I - omega_G*Gap,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,1 - omega_I*I - omega_G*Gap,False,A4A_PER_Q_BAR,v1.0.1-official-4c,robustness-gmimicro-chl-v1-20260710T204451Z,2026-07-10T20:44:51.671519+00:00,run_gmi_microdata_chl_robustness_extension.py,,
robustness-gmimicro-chl-v1,q_use_target_adj,adoption_translation,PER,,,,derived_parameter,share,0.1106241740078193,0.07743692180547351,0.1438114262101651,official_4c_country_specific,PLAN_02_SEC_7_3,Target projected to interior support,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,Target projected to interior support,False,A4A_PER_Q_USE_TARGET_ADJ,v1.0.1-official-4c,robustness-gmimicro-chl-v1-20260710T204451Z,2026-07-10T20:44:51.671519+00:00,run_gmi_microdata_chl_robustness_extension.py,,
robustness-gmimicro-chl-v1,q_prod_t0,adoption_translation,PER,,,,derived_parameter,share,0.1106241740078193,0.07743692180547351,0.1438114262101651,official_4c_country_specific,PLAN_02_SEC_7_3,Initial condition q_prod_t0=q_use_target_adj,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,Initial condition q_prod_t0=q_use_target_adj,False,A4A_PER_Q_PROD_T0,v1.0.1-official-4c,robustness-gmimicro-chl-v1-20260710T204451Z,2026-07-10T20:44:51.671519+00:00,run_gmi_microdata_chl_robustness_extension.py,,
robustness-gmimicro-chl-v1,mu_t0_derived_not_free,adoption_translation,PER,,,,derived_parameter,unitless,-1.3541658538070795,-1.3541658538070795,-1.3541658538070795,official_4c_country_specific,PLAN_02_SEC_7_3,"Derived by logit inversion; primitive is q_use_target, not mu",fixed_derived,declared,True,False,False,none,none,registered,"Derived by logit inversion; primitive is q_use_target, not mu",False,A4A_PER_MU_T0_DERIVED_NOT_FREE,v1.0.1-official-4c,robustness-gmimicro-chl-v1-20260710T204451Z,2026-07-10T20:44:51.671519+00:00,run_gmi_microdata_chl_robustness_extension.py,,
robustness-gmimicro-chl-v1,labor_share,fiscal_channels,PER,,,,observed,share,0.447212278842926,0.447212278842926,0.447212278842926,official_4c_country_specific,PWT_10_01,country-specific PWT labsh,fixed_observed,0_to_1,True,False,False,none,none,registered,country-specific PWT labsh,False,A4A_PER_LABOR_SHARE,v1.0.1-official-4c,robustness-gmimicro-chl-v1-20260710T204451Z,2026-07-10T20:44:51.671519+00:00,run_gmi_microdata_chl_robustness_extension.py,,
robustness-gmimicro-chl-v1,tau_L_eff,fiscal_channels,PER,,,,derived_parameter,effective_tax_rate,0.0804966095753286,0.0,1.0,official_4c_country_specific,OECD_REVSTAT_LAC;PWT_10_01,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,fixed_derived,0_to_1,True,False,False,none,none,registered,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,False,A4A_PER_TAU_L_EFF,v1.0.1-official-4c,robustness-gmimicro-chl-v1-20260710T204451Z,2026-07-10T20:44:51.671519+00:00,run_gmi_microdata_chl_robustness_extension.py,,
