run_id,run_type,variant_id,diagnostic_key,diagnostic_value,diagnostic_note,parameter_set_id,dataset_version
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,non_resource_percentiles,not_available,Frozen historical_capture_percentiles has tax and total_revenue only; non-resource concept deferred.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,PER|PEN|stress|r2|tax,fiscally_ordinary,required MFC plausibility with sample=2010plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,PER|PEN|stress|r2|total_revenue,fiscally_ordinary,required MFC plausibility with sample=2010plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,PER|PEN|stress|r4|tax,fiscally_ordinary,required MFC plausibility with sample=2010plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,PER|PEN|stress|r4|total_revenue,fiscally_ordinary,required MFC plausibility with sample=2010plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,CHL|GMI:GMI_ideal_aggregate|mid|r0|tax,fiscally_ordinary,required MFC plausibility with sample=2010plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,CHL|GMI:GMI_ideal_aggregate|mid|r0|total_revenue,fiscally_ordinary,required MFC plausibility with sample=2010plus; borderline=True,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,CHL|GMI:GMI_ideal_aggregate|stress|r0|tax,fiscally_ordinary,required MFC plausibility with sample=2010plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,CHL|GMI:GMI_ideal_aggregate|stress|r0|total_revenue,fiscally_ordinary,required MFC plausibility with sample=2010plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,PER|PEN|stress|r2|tax,fiscally_ordinary,required MFC plausibility with sample=2015plus; borderline=True,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,PER|PEN|stress|r2|total_revenue,fiscally_ordinary,required MFC plausibility with sample=2015plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,PER|PEN|stress|r4|tax,fiscally_ordinary,required MFC plausibility with sample=2015plus; borderline=True,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,PER|PEN|stress|r4|total_revenue,fiscally_ordinary,required MFC plausibility with sample=2015plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,CHL|GMI:GMI_ideal_aggregate|mid|r0|tax,fiscally_ordinary,required MFC plausibility with sample=2015plus; borderline=True,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,CHL|GMI:GMI_ideal_aggregate|mid|r0|total_revenue,fiscally_ordinary,required MFC plausibility with sample=2015plus; borderline=True,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,CHL|GMI:GMI_ideal_aggregate|stress|r0|tax,fiscally_ordinary,required MFC plausibility with sample=2015plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,CHL|GMI:GMI_ideal_aggregate|stress|r0|total_revenue,fiscally_ordinary,required MFC plausibility with sample=2015plus; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic_2020_2021,PER|PEN|stress|r2|tax,fiscally_ordinary,required MFC plausibility with sample=excl_pandemic_2020_2021; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic_2020_2021,PER|PEN|stress|r2|total_revenue,fiscally_ordinary,required MFC plausibility with sample=excl_pandemic_2020_2021; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic_2020_2021,PER|PEN|stress|r4|tax,fiscally_ordinary,required MFC plausibility with sample=excl_pandemic_2020_2021; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic_2020_2021,PER|PEN|stress|r4|total_revenue,fiscally_ordinary,required MFC plausibility with sample=excl_pandemic_2020_2021; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic_2020_2021,CHL|GMI:GMI_ideal_aggregate|mid|r0|tax,fiscally_ordinary,required MFC plausibility with sample=excl_pandemic_2020_2021; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic_2020_2021,CHL|GMI:GMI_ideal_aggregate|mid|r0|total_revenue,fiscally_ordinary,required MFC plausibility with sample=excl_pandemic_2020_2021; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic_2020_2021,CHL|GMI:GMI_ideal_aggregate|stress|r0|tax,fiscally_ordinary,required MFC plausibility with sample=excl_pandemic_2020_2021; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic_2020_2021,CHL|GMI:GMI_ideal_aggregate|stress|r0|total_revenue,fiscally_ordinary,required MFC plausibility with sample=excl_pandemic_2020_2021; borderline=False,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R10_margin_equivalent_costs,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 22, ""country_policy_class_changes"": 20, ""max_abs_delta_v_headline"": 2.4213996520510643}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 4.440892098500626e-16}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 4.440892098500626e-16}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 4.440892098500626e-16}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 0.0}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R13_recycling_mpc_ben,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 0.05444622690564138}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_tax_p10,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 1, ""country_policy_class_changes"": 20, ""max_abs_delta_v_headline"": 5.671577989412422}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_tax_p50,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 7, ""country_policy_class_changes"": 40, ""max_abs_delta_v_headline"": 11.477612715738111}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_tax_p90,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 12, ""country_policy_class_changes"": 120, ""max_abs_delta_v_headline"": 23.45087011513639}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p10,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 2, ""country_policy_class_changes"": 40, ""max_abs_delta_v_headline"": 2.977669555171949}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p50,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 12, ""country_policy_class_changes"": 100, ""max_abs_delta_v_headline"": 16.67645516889989}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p90,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 18, ""country_policy_class_changes"": 140, ""max_abs_delta_v_headline"": 29.655370570200365}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R1_horizon_H15,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 11, ""country_policy_class_changes"": 40, ""max_abs_delta_v_headline"": 3.4492927762870638}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R1_horizon_H5,summary,"{""baseline_reversed_cells"": 13, ""cell_class_changes"": 15, ""country_policy_class_changes"": 40, ""max_abs_delta_v_headline"": 3.269546859420979}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R2_trajectory_lambda_015,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 1.4210854715202004e-14}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R2_trajectory_lambda_030,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 1.4210854715202004e-14}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R2_trajectory_lambda_050,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 1.4210854715202004e-14}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R3_frontier_alt_year,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 4.440892098500626e-16}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R3_frontier_best_country,summary,"{""baseline_reversed_cells"": 15, ""cell_class_changes"": 15, ""country_policy_class_changes"": 60, ""max_abs_delta_v_headline"": 5.446156200461149}",Deterministic robustness summary; does not modify official classification.,baseline-official-v3,v1.0.1-official-4c
