run_id,run_type,country_id,policy_id,policy_variant_id,gmi_version,scenario_id,regime_id,informality_observed,q_bar_baseline,q_bar_no_informality,delta_q_bar,q_prod_baseline,q_prod_no_informality,delta_q_prod,v_baseline_recomputed,v_no_informality_adoption,delta_v,baseline_crosses_v1,variant_crosses_v1,crossing_changed,asymmetry_note,parameter_set_id,dataset_version
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,low,r0,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,-0.2618923549364835,-0.2618923549364835,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,low,r1,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,-0.2548554657748171,-0.2548554657748171,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,low,r2,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,-0.25244264894528773,-0.25244264894528773,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,low,r3,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,-0.2622964911801421,-0.2622964911801421,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,low,r4,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,-0.2433430876856666,-0.2433430876856666,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,mid,r0,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.07818985937018477,0.07818985937018477,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,mid,r1,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.1029657343680464,0.1029657343680464,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,mid,r2,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.12087002637210072,0.12087002637210072,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,mid,r3,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.07112555861840597,0.07112555861840597,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,mid,r4,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.17144060151484913,0.17144060151484913,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,high,r0,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.02855624842159968,0.02855624842159968,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,high,r1,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.05068530229110343,0.05068530229110343,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,high,r2,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.06632329452973793,0.06632329452973793,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,high,r3,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.028744404125143792,0.028744404125143792,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,high,r4,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,0.12079932861002553,0.12079932861002553,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,stress,r0,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,1.0152041145854496,1.0152041145854496,0.0,True,True,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,stress,r1,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,1.0883366536209245,1.0883366536209245,0.0,True,True,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,stress,r2,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,1.1488757198180228,1.1488757198180228,0.0,True,True,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,stress,r3,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,1.0460769728192068,1.0460769728192068,0.0,True,True,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,PEN,PEN,,stress,r4,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,1.402956888234968,1.402956888234968,0.0,True,True,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,low,r0,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,-0.12060164834825654,-0.12060164834825654,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,PER,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,low,r1,0.6746800000000001,0.5301193837172034,0.8674593837172033,0.33734,0.1106241740078193,0.1106241740078193,0.0,-0.1182615816403593,-0.1182615816403593,0.0,False,False,False,Informality is removed only from adoption q_bar and logit; fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,baseline-official-v3,v1.0.1-official-4c
