parameter_set_id,mc_mode,variable_a,variable_b,rho,signed_pair_from_author,author_signed_rho,dependency_structure,psd_min_eigenvalue,audit_status,author_approval_date,notes
baseline-official-v3,MC_pairwise_05_check,q_use_target,A_aipi_total,0.5,True,0.5,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,q_use_target,E_prod,0.0,False,,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,q_use_target,chi_Kbase,0.0,False,,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,q_use_target,Gap_excluded_indicators,-0.5,True,-0.5,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,q_use_target,I_adopt_informality,-0.5,True,-0.5,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,A_aipi_total,E_prod,0.5,True,0.5,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,A_aipi_total,chi_Kbase,0.0,False,,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,A_aipi_total,Gap_excluded_indicators,0.0,False,,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,A_aipi_total,I_adopt_informality,0.0,False,,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,E_prod,chi_Kbase,0.0,False,,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,E_prod,Gap_excluded_indicators,0.0,False,,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,E_prod,I_adopt_informality,0.0,False,,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,chi_Kbase,Gap_excluded_indicators,0.0,False,,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,chi_Kbase,I_adopt_informality,-0.5,True,-0.5,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
baseline-official-v3,MC_pairwise_05_check,Gap_excluded_indicators,I_adopt_informality,0.0,False,,pairwise_literal,0.034074173710931854,author_approved,2026-07-09,"PSD by construction for factor modes; pairwise mode imposes only the five signed pairs, with unspecified pairs set to zero."
